Name;Length;Area
YENİKENT;10157.59162;2609738.141
BALIKLIOVA;48580.40518;52569778.85
BARBAROS;39879.56743;36767588.86
BADEMLER;25502.64829;17467329.45
ALTINTAŞ;8288.011186;1787264.07
CAMİATİK;11165.93699;2655475.756
SIRA;10027.0261;2974723.59
ATATÜRK;12616.17549;3739245.43
İSKELE;16454.75078;6124738.144
GÜVENDİK;25415.19029;18086144.99
YENİ;1558.72534;95257.94997
YAKA;5118.683936;761086.4022
HACI İSA;3424.423236;315070.4049
RÜSTEM;16028.54934;6716961.933
M.FEVZİ ÇAKMAK;4245.077326;887802.5923
TORASAN;13218.46796;3903567.548
GÜLBAHÇE;33255.76596;25751747.27
OVACIK;12020.37621;6114864.981
ŞİRİNKENT;9223.139246;2585263.331
ÇAMLIÇAY;4385.946802;925759.8185
ZEYTİNALANI;3179.765204;479951.8916
NAİPLİ;7306.899685;1700188.875
YAĞCILAR;53178.92091;57329696.85
DEMİRCİLİ;13844.00471;3245828.007
İÇMELER;18776.6214;15074132.06
KUŞÇULAR;36513.58365;35527109.19
ÖZBEK;32535.33864;32871332.98
YENİCE;16433.19689;8429068.593
KALABAK;13890.50159;6606512.825
YELALTI;14753.95691;3413212.057
DENİZLİ;12949.74638;6308948.692
ZEYTİNLER;76488.69969;119790278.9
KADIOVACIK;29658.64498;47182645.08
NOHUTALAN;16614.5479;10734678.28
BİRGİ;26190.68915;20540681.16
UZUNKUYU;12703.72733;3168559.774
ZEYTİNELİ;80458.25157;111242002
