Name;Length;Area
YENIKENT;10157.59162;2609738.141
BALIKLIOVA;48580.40518;52569778.85
BARBAROS;39879.56743;36767588.86
BADEMLER;25502.64829;17467329.45
ALTINTAS;8288.011186;1787264.07
CAMIATIK;11165.93699;2655475.756
SIRA;10027.0261;2974723.59
ATATURK;12616.17549;3739245.43
ISKELE;16454.75078;6124738.144
GUVENDIK;25415.19029;18086144.99
YENI;1558.72534;95257.94997
YAKA;5118.683936;761086.4022
HACI ISA;3424.423236;315070.4049
RUSTEM;16028.54934;6716961.933
M.FEVZI CAKMAK;4245.077326;887802.5923
TORASAN;13218.46796;3903567.548
GULBAHCE;33255.76596;25751747.27
OVACIK;12020.37621;6114864.981
SIRINKENT;9223.139246;2585263.331
CAMLICAY;4385.946802;925759.8185
ZEYTINALANI;3179.765204;479951.8916
NAIPLI;7306.899685;1700188.875
YAGCILAR;53178.92091;57329696.85
DEMIRCILI;13844.00471;3245828.007
ICMELER;18776.6214;15074132.06
KUSCULAR;36513.58365;35527109.19
OZBEK;32535.33864;32871332.98
YENICE;16433.19689;8429068.593
KALABAK;13890.50159;6606512.825
YELALTI;14753.95691;3413212.057
DENIZLI;12949.74638;6308948.692
ZEYTINLER;76488.69969;119790278.9
KADIOVACIK;29658.64498;47182645.08
NOHUTALAN;16614.5479;10734678.28
BIRGI;26190.68915;20540681.16
UZUNKUYU;12703.72733;3168559.774
ZEYTINELI;80458.25157;111242002
